"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"944",1.15680259009213,2.404386175462,3.33157496801848,-0.188695896432816,-2.09256059812331,-0.562490612109819,-0.408495270647989,NA,0.0914666377880152,NA,-0.213322161366577,0.881600446485143,-0.220468965881549,12,-200.625725919612,430.539587432443,11.5094486919549,0.000452818858950464
"928",1.03516229396364,2.54343908620995,3.36533771389548,-0.0618435209204512,-1.56358825049929,-0.389128667408925,-0.561251580660707,0.487642107801473,NA,NA,0.484478763214774,0.73529863242478,-0.318462309421915,12,-200.631314483999,430.550764561219,11.5206258207301,0.000450295309678058
"864",1.04320762485884,2.46894190248239,3.36183194754191,-0.0897314926160028,-1.84431637210208,-0.557070470881936,-0.489304335408214,0.358227096515358,NA,-0.0453347872619787,NA,0.816671118887451,-0.284726642914779,12,-200.632385530973,430.552906655166,11.5227679146778,0.000449813280433344
"240",1.14304304213369,3.01238246701048,3.33619895331492,-0.322273988199995,-0.154498609797067,0.284738514129534,-0.338591788104828,NA,0.133836697165208,0.141628651566972,1.25765684650637,NA,NA,11,-202.079616577291,430.559233154582,11.5290944140933,0.000448392656783729
"704",1.00612702664818,3.12658962744972,3.4134468694896,0.0940195942157926,0.472780399381616,0.518530268613133,-0.753749194298134,1.6278134149566,0.140922971723381,NA,2.79785930784258,NA,-0.593304198630944,12,-200.983938780068,431.256013153356,12.2258744128673,0.000316486097601904
"736",0.966489769425431,3.14341887621178,3.41025418391825,0.0875739476282648,0.48868698920213,0.516576567983023,-0.783002477095995,1.49555266168894,NA,-0.0310867183707413,3.0533443040771,NA,-0.633443425895831,12,-201.103740339303,431.495616271825,12.4654775313369,0.000280753695350618
"28",5.64898947944482,2.59619885235087,6.81308312869736,-0.552622346103988,-0.394887383801795,NA,-0.00140314694612059,-0.109601100725928,NA,NA,NA,NA,NA,8,-206.646947916844,431.579610119402,12.5494713789131,0.000269207062392463
"640",0.960773897352914,2.8102260780118,3.41435705903192,-0.0645625801528315,-0.0190690662147967,-0.374197245588322,-0.607799634438929,1.24817121735702,0.217918407617621,0.0290622820361035,NA,NA,-0.442768699436477,12,-201.50440688852,432.29694937026,13.2668106297714,0.000188069430672538
"656",4.01642091102403,2.62364026184122,5.34846170051843,-0.480137727071774,-0.172908609946035,0.00419074709270691,-0.319352569742258,NA,NA,NA,1.41521896616636,NA,-0.607600917595765,10,-204.431091236882,432.468739850814,13.4386011103251,0.000172589504135635
"2",38.7286755259804,2.44441518694439,31.8586998937518,-0.553910718544278,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-210.821486259852,432.552063428795,13.5219246883065,0.000165546840256471
"752",1.18174056297358,2.92421789909597,3.34657822389156,-0.330428224652618,-0.0526820652715547,0.110057109940392,-0.5466796301218,NA,0.0908456048362559,0.0680498656315591,1.67374791578346,NA,-0.586785804729469,12,-201.790441551082,432.869018695384,13.8388799548956,0.000141284635094375
"3",42.005234639503,2.5064526652514,33.2301666685142,NA,-0.415716845259889,NA,NA,NA,NA,NA,NA,NA,NA,5,-211.202264738417,433.313620385925,14.2834816454361,0.000113122997353017
"896",1.07729213579193,2.49273135883208,3.36435796069362,-0.0752620553133803,-1.71574823368015,-0.476137505419907,-0.48267917425069,0.547786760868574,0.121700777595157,-0.00369193716213926,NA,0.770409555121355,-0.261744463124179,13,-200.547372801475,433.370607671916,14.3404689314274,0.000109945199567976
"1008",1.15731624528628,2.40430579244693,3.33112535559436,-0.188458050004964,-2.09477353541683,-0.564523233754063,-0.407314275270181,NA,0.0899447621710164,-0.00358194853224579,-0.212630789923153,0.882444740034696,-0.223567743821505,13,-200.625630291695,433.527122652355,14.4969839118669,0.000101669216270083
"512",1.13369089679805,2.62722145286114,3.33688741466137,-0.0641535242411978,-1.62674760937855,-0.0620747186547173,-0.361227120765229,0.453238145925505,0.124065976324746,0.0316413477968162,0.762738688235103,0.756772427122016,NA,13,-200.679066491556,433.633995052078,14.6038563115898,9.63790029172006e-05
"135",36.9923070237397,3.12866938705573,28.5405574956879,NA,0.247043591536485,1.62140663123672,NA,NA,NA,NA,4.94563889544675,NA,NA,7,-208.962627659975,433.67525531995,14.6451165794615,9.44110604331906e-05
"284",8.80921514431558,2.06354651456064,8.57856129666742,-0.767690184868793,-2.9956216083757,NA,0.290081613207916,-1.99199786576515,NA,NA,NA,1.05209769590914,NA,9,-206.616743216321,434.136712239094,15.1065734986059,7.49581360971641e-05
"768",1.0067382615319,3.12424922269962,3.41420324816179,0.0914566045717101,0.472916883992553,0.523958349456352,-0.756099613805108,1.62380479558403,0.146353443871781,0.0126155850775144,2.79116885721645,NA,-0.581502152022359,13,-200.98267107677,434.241204222505,15.2110654820162,7.11424198039632e-05
"20",44.2245322966251,2.40826739534428,35.6388159347554,-0.637812435284536,-0.576128938722366,NA,NA,-0.909856362488816,NA,NA,NA,NA,NA,7,-209.406673733202,434.563347466404,15.5332087259152,6.05586404152768e-05
"6",40.4880042026833,2.43650020336795,33.0483936029686,-0.546448538691486,NA,-0.139887041891508,NA,NA,NA,NA,NA,NA,NA,6,-210.639786576201,434.571880844709,15.5417421042204,6.03008059620007e-05
"992",1.25237638989833,2.02149468939881,3.35745194342609,-0.122792344504922,-3.21213019487216,-1.3204617811481,-0.323797962445002,-0.200230047664312,NA,-0.096287588583374,-2.04208699100125,1.27786887194218,-0.226561887175431,13,-201.214765063984,434.705392196933,15.6752534564443,5.64068042186816e-05
"8",44.1918632523656,2.36700028270373,35.9226128667889,-0.516872237629497,-0.409450930457502,-0.170560605537926,NA,NA,NA,NA,NA,NA,NA,7,-209.503611566384,434.757223132767,15.7270843922788,5.49637746489277e-05
"10",41.64503040502,2.44460278537087,34.1043545739562,-0.533040653910187,NA,NA,-0.0331737618098852,NA,NA,NA,NA,NA,NA,6,-210.832252302276,434.95681229686,15.9266735563714,4.97434970967991e-05
"7",41.7563592408402,2.49496983976628,32.5434194018537,NA,-0.425980164994598,-0.175793870980776,NA,NA,NA,NA,NA,NA,NA,6,-210.913139369833,435.118586431974,16.0884476914852,4.58783200712852e-05
"168",40.3216157130348,2.83295978713047,31.9935896000087,-0.445887594468455,0.0197683648231946,1.0561559863748,NA,NA,0.286409917715896,NA,3.1472250156908,NA,NA,9,-207.23883322981,435.380892266072,16.3507535255833,4.02391241071251e-05
"15",11.2815542627123,2.5827262511174,10.6193168881818,NA,-0.383792919506536,-0.235509668860828,-0.372827934911603,NA,NA,NA,NA,NA,NA,7,-209.885084417606,435.520168835212,16.4900300947232,3.7532284187197e-05
"24",42.9025866873895,2.39591958507849,34.1982482312571,-0.661081099548792,-0.605201445210822,-0.200056494772427,NA,-0.991079390781411,NA,NA,NA,NA,NA,8,-209.010505404094,436.306725093901,17.276586353413,2.53283252586804e-05
"688",6.84237548771555,2.85701617872214,7.17362392507717,-0.557785882078134,0.298672718140779,0.978730922317603,-0.427210744970235,NA,0.229836211141042,NA,4.70860091355682,NA,-1.16580299857466,11,-205.072247603871,436.544495207742,17.5143564672532,2.24892695822453e-05
"56",44.2961533574676,2.43587653415196,35.0510460925936,-0.560205858377635,-0.459632154648888,-0.0571175403049659,NA,-0.247373384206885,0.37040577315568,NA,NA,NA,NA,9,-207.946824464617,436.796874735686,17.7667359951978,1.98231118876258e-05
"152",44.6209940294927,2.90191075138874,35.646940819761,-0.44188134604273,0.0827795979713544,1.23259320651446,NA,-0.254060416263399,NA,NA,3.96169784862339,NA,NA,9,-207.966145072556,436.835515951564,17.8053772110753,1.94437934456149e-05
"14",35.927871388902,2.44716508687259,29.4743096546185,-0.468897790540095,NA,-0.17758372016344,-0.149454696799345,NA,NA,NA,NA,NA,NA,7,-210.552373749672,436.854747499344,17.8246087588556,1.92577223667099e-05
"320",43.1268011969733,1.80406370706668,34.7402503683075,-0.686459234228853,-3.54755103237665,-0.353752608081316,0.255578861596267,-1.45252745794404,0.222607821168947,NA,NA,1.39033150689885,NA,11,-205.28959661524,436.97919323048,17.9490544899916,1.80959702729129e-05
"76",42.4280860640239,2.47463691436647,33.8766142164436,-0.558982309953198,-0.52912053033306,NA,0.434093963807795,NA,NA,-0.271887767764791,NA,NA,NA,8,-209.358554629978,437.00282354567,17.9726848051813,1.78834216526363e-05
